scenario_id,scenario_label,component,weight
nature_recovery,Nature Recovery,restoration_opportunity_score,0.34
nature_recovery,Nature Recovery,flood_opportunity_score_raw,0.12
nature_recovery,Nature Recovery,peat_opportunity_score_raw,0.12
nature_recovery,Nature Recovery,agri_opportunity_score_raw,0.08
nature_recovery,Nature Recovery,habitat_mosaic_score,0.09
nature_recovery,Nature Recovery,biodiversity_observation_score_raw,0.25
flood_resilience,Flood Resilience,restoration_opportunity_score,0.22
flood_resilience,Flood Resilience,flood_opportunity_score_raw,0.32
flood_resilience,Flood Resilience,peat_opportunity_score_raw,0.10
flood_resilience,Flood Resilience,agri_opportunity_score_raw,0.10
flood_resilience,Flood Resilience,habitat_mosaic_score,0.06
flood_resilience,Flood Resilience,biodiversity_observation_score_raw,0.20
carbon_restoration,Carbon Restoration,restoration_opportunity_score,0.24
carbon_restoration,Carbon Restoration,flood_opportunity_score_raw,0.10
carbon_restoration,Carbon Restoration,peat_opportunity_score_raw,0.32
carbon_restoration,Carbon Restoration,agri_opportunity_score_raw,0.08
carbon_restoration,Carbon Restoration,habitat_mosaic_score,0.06
carbon_restoration,Carbon Restoration,biodiversity_observation_score_raw,0.20
lower_conflict,Lower Conflict,restoration_opportunity_score,0.20
lower_conflict,Lower Conflict,flood_opportunity_score_raw,0.12
lower_conflict,Lower Conflict,peat_opportunity_score_raw,0.08
lower_conflict,Lower Conflict,agri_opportunity_score_raw,0.36
lower_conflict,Lower Conflict,habitat_mosaic_score,0.09
lower_conflict,Lower Conflict,biodiversity_observation_score_raw,0.15
balanced_strategy,Balanced Strategy,restoration_opportunity_score,0.28
balanced_strategy,Balanced Strategy,flood_opportunity_score_raw,0.18
balanced_strategy,Balanced Strategy,peat_opportunity_score_raw,0.14
balanced_strategy,Balanced Strategy,agri_opportunity_score_raw,0.16
balanced_strategy,Balanced Strategy,habitat_mosaic_score,0.07
balanced_strategy,Balanced Strategy,biodiversity_observation_score_raw,0.17
