hex_id,priority_habitat_share,distance_to_priority_habitat_m,agri_opportunity_score_raw,connectivity_score,flood_opportunity_score_raw,peat_opportunity_score_raw,scenario_nature_first,scenario_balanced,scenario_low_conflict
hex_0000177,99.99999999999946,0.0,100.0,100.0,0.0,0.0,70.0,65.0,75.0
hex_0000209,100.0000000000002,0.0,100.0,100.0,0.0,0.0,70.0,65.0,75.0
hex_0000208,96.08322243925959,0.0,100.0,100.0,0.0,0.0,68.63,64.02,74.22
hex_0000204,94.82334128779388,0.0,100.0,100.0,0.0,0.0,68.19,63.71,73.96
hex_0000236,93.56225916303627,0.0,100.0,100.0,0.0,0.0,67.75,63.39,73.71
hex_0000175,92.4639636021199,0.0,100.0,100.0,0.0,0.0,67.36,63.12,73.49
hex_0000234,89.36706666317883,0.0,100.0,100.0,0.0,0.0,66.28,62.34,72.87
hex_0000201,88.64444874454793,0.0,100.0,100.0,0.0,0.0,66.03,62.16,72.73
hex_0000111,88.0844369724966,0.0,100.0,100.0,0.0,0.0,65.83,62.02,72.62
hex_0000202,86.22018807084622,0.0,100.0,100.0,0.0,0.0,65.18,61.56,72.24
hex_0000086,85.04087248736525,269.8790096612251,100.0,97.47300605189822,0.0,0.0,64.13,60.75,71.63
hex_0000238,82.65865956763918,0.0,100.0,100.0,0.0,0.0,63.93,60.66,71.53
hex_0000242,80.34207876334712,0.0,100.0,100.0,0.0,0.0,63.12,60.09,71.07
hex_0000264,79.36191515550178,0.0,100.0,100.0,0.0,0.0,62.78,59.84,70.87
hex_0000040,79.20691393979256,0.0,100.0,100.0,0.0,0.0,62.72,59.8,70.84
hex_0000085,79.52968464002663,109.9389196751235,100.0,98.97059432288334,0.0,0.0,62.58,59.68,70.75
hex_0000207,79.80627702303148,482.06866330902074,100.0,95.48618250718877,0.0,0.0,61.8,59.05,70.28
hex_0000237,75.89439906838842,0.0,100.0,100.0,0.0,0.0,61.56,58.97,70.18
hex_0000168,75.77862358984257,0.0,100.0,100.0,0.0,0.0,61.52,58.94,70.16
hex_0000112,75.65500118511297,0.0,100.0,100.0,0.0,0.0,61.48,58.91,70.13
hex_0000268,75.43861154468937,0.0,100.0,100.0,0.0,0.0,61.4,58.86,70.09
hex_0000241,76.19248725752664,176.0016597748956,100.0,98.35202030100332,0.0,0.0,61.26,58.72,69.99
hex_0000281,71.38503548405045,0.0,100.0,100.0,0.0,0.0,59.98,57.85,69.28
hex_0000396,70.10485295300674,96.01708037839977,100.0,99.10095052840458,0.0,0.0,59.31,57.35,68.89
hex_0000141,67.95532169608778,0.0,100.0,100.0,0.0,0.0,58.78,56.99,68.59
