hex_id,priority_habitat_share,distance_to_priority_habitat_m,agri_opportunity_score_raw,connectivity_score,flood_opportunity_score_raw,peat_opportunity_score_raw,scenario_nature_first,scenario_balanced,scenario_low_conflict,restoration_opportunity_score,habitat_mosaic_score,cell_area_ratio,undersized_cell_penalty
hex_0005473,19.990135086378004,10.429511191067615,100.0,99.93587829542895,0.0,0.0,60.98,57.98,70.99,79.96,99.95,1.0,1.0
hex_0079868,19.66917537886988,0.0,100.0,100.0,0.0,0.0,60.98,57.95,70.9,80.33,98.35,0.9999999999999035,1.0
hex_0080961,18.958633050104083,0.0,100.0,100.0,0.0,0.0,60.95,57.84,70.69,81.04,94.79,0.9999999999999035,1.0
hex_0059938,19.465175925846196,61.250847291562984,100.0,99.62342350827332,0.0,0.0,60.84,57.81,70.78,80.23,97.33,0.9999999999999035,1.0
hex_0020122,19.548471769064086,84.72539550064661,100.0,99.47909957806928,0.0,0.0,60.79,57.78,70.78,80.03,97.74,1.0,1.0
hex_0083672,19.84335826029411,117.87539085435839,100.0,99.27529000639701,0.0,0.0,60.73,57.77,70.84,79.58,99.22,0.9999999999999035,1.0
hex_0097599,18.955051450050554,59.95345778981859,100.0,99.63139999200494,0.0,0.0,60.82,57.74,70.63,80.75,94.78,1.0,1.0
hex_0104200,18.07725784528706,0.0,100.0,100.0,0.0,0.0,60.9,57.71,70.42,81.92,90.39,0.9999999999999035,1.0
hex_0022398,18.42240031089103,35.61067235526681,100.0,99.78106193372737,0.0,0.0,60.84,57.7,70.49,81.4,92.11,1.0,1.0
hex_0082014,19.66424802484412,146.4582710698373,100.0,99.09955952704948,0.0,0.0,60.66,57.7,70.75,79.61,98.32,0.9999999999999035,1.0
hex_0190769,19.880663359485197,168.0561565823714,100.0,98.96677351159553,0.0,0.0,60.62,57.69,70.8,79.29,99.4,0.7756996543919832,1.0
hex_0121933,20.162082661148624,103.19137271673785,100.0,99.36556885606572,0.0,0.0,60.62,57.68,70.78,79.33,99.19,0.8598599911205379,1.0
hex_0010270,19.457789098616455,141.33571052176447,100.0,99.13105355472665,0.0,0.0,60.66,57.67,70.7,79.84,97.29,1.0,1.0
hex_0013445,20.040085041082424,177.90124164139647,100.0,98.90624491882961,0.0,0.0,60.57,57.66,70.8,79.09,99.8,0.9999999999999706,1.0
hex_0094089,19.32464169567821,137.8790740099506,100.0,99.15230531055293,0.0,0.0,60.66,57.66,70.66,79.99,96.62,1.0,1.0
hex_0020114,18.244853503603704,45.34917398818729,100.0,99.72118862679754,0.0,0.0,60.81,57.66,70.43,81.53,91.22,1.0,1.0
