hex_id,priority_habitat_share,distance_to_priority_habitat_m,agri_opportunity_score_raw,flood_extent_share,flood_weighted_share,distance_to_flood_m,flood_proximity_score,flood_opportunity_score_raw,flood_feature_source,peat_extent_share,peatland_context_share,peat_weighted_share,distance_to_peat_m,peat_proximity_score,peat_opportunity_score_raw,peat_feature_source,bird_species_richness,bird_record_count,mammal_species_richness,mammal_record_count,cell_area_ratio,connectivity_score,undersized_cell_penalty,run_profile,flood_source_path,flood_source_layer,flood_clean_path,peat_source_path,peat_source_layer,peat_clean_path,bird_species_richness_score,bird_record_coverage_score,bird_observation_score_raw,mammal_species_richness_score,mammal_record_coverage_score,mammal_observation_score_raw,biodiversity_taxa_present,biodiversity_record_coverage_score,biodiversity_observation_score_raw,scenario_nature_first,scenario_balanced,scenario_low_conflict,restoration_opportunity_score,habitat_mosaic_score,lnrs_name
hex_0131453,0.0,538.4297101370241,100.0,1.0,0.4000000000000009,0.0,100.0,58.0,dedicated_dataset,0.6605713221563825,0.6605713221563825,0.6605713221563825,0.0,100.0,76.24,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.69065741480411,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.98,67.04,68.73,96.69,0.0,
hex_0027562,0.0,694.9544984069341,80.0,0.9996670010417102,0.3998668004166841,0.0,100.0,57.99,dedicated_dataset,0.9683627272765853,0.9683627272765853,0.9683627272765853,0.0,100.0,97.79,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,95.72861141751216,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,64.87,66.99,63.71,95.73,0.0,
hex_0004129,14.36546176027716,271.75375749769944,100.0,0.7700409415083648,0.30801637660334596,0.0,100.0,51.56,dedicated_dataset,0.7869596807002383,0.7869596807002383,0.7869596807002383,0.0,100.0,85.09,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.32972388885214,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.56,66.93,71.43,84.2,71.83,
hex_0004231,21.14939991701693,224.9256630019476,100.0,0.5921902555009795,0.23687610220039185,0.0,100.0,46.58,dedicated_dataset,0.9503568513468121,0.9503568513468121,0.9503568513468121,0.0,100.0,96.52,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.61754271530384,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.39,66.83,72.23,77.76,94.25,
hex_0004180,6.1210387923586795,300.18156906313914,80.0,0.9115845426196475,0.364633817047859,0.0,100.0,55.52,dedicated_dataset,0.9065953788840319,0.9065953788840319,0.9065953788840319,0.0,100.0,93.46,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.15499844995782,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,64.13,66.3,64.4,92.15,30.61,
hex_0131452,12.984679833149116,301.5600568055642,100.0,1.0,0.39999999999999997,0.0,100.0,58.0,dedicated_dataset,0.5844387173682637,0.5844387173682637,0.5844387173682637,52.63466730323853,99.77312279508415,70.84,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.14652587108023,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.46,66.09,70.7,85.4,64.92,
hex_0004286,16.16517844409116,307.56528532206954,100.0,0.39865940469448286,0.15946376187779315,22.636868962601874,99.89904815329669,41.13,dedicated_dataset,0.9039701748179408,0.9039701748179408,0.9039701748179408,0.0,100.0,93.28,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.1096160236306,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.99,65.93,70.96,82.25,80.83,
hex_0009053,9.900679613174903,243.02676624671327,100.0,0.14760231903475485,0.05904092761390193,94.63466730329674,99.5779652900671,34.01,dedicated_dataset,0.9551275794966468,0.9551275794966468,0.9551275794966468,0.0,100.0,96.86,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.50628817143463,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.17,65.43,69.23,88.75,49.5,
hex_0009396,0.0,634.5865523202089,100.0,0.1638475248136247,0.06553900992544988,0.0,100.0,34.59,dedicated_dataset,0.9623210154778671,0.9623210154778671,0.9623210154778671,0.0,100.0,97.36,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.09965003407507,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.43,65.35,67.22,96.1,0.0,
hex_0004179,0.0,582.2268206758586,100.0,0.2717550484363957,0.10870201937455826,150.1109657255107,99.33056204789439,37.41,dedicated_dataset,0.8980501377666008,0.8980501377666008,0.8980501377666008,0.0,100.0,92.86,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.42146788033764,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.29,65.34,67.25,96.42,0.0,
